Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
499,CGN,961244,BLV,boliviense,"-253,333",2520S,"-658,333",06550W,P. Salta,D. San Carlos,ARG,"Isonza, Las Aguadas, Camino de Cachipampa a Amblayo, 21 km s cruce ruta59",6/14/1973,2800,24
500,CGN,17603,BST,brachistotrichum,"218,833",2153N,"-102,483",10229W,E. Aguascalientes,NULL,MEX,Collected between Aguascalientes and Calvillo,NULL,NULL,24
501,CGN,962574,BCP,brachycarpum,NULL,NULL,NULL,NULL,E. Oaxaca,NULL,MEX,San Mateo,NULL,NULL,72
502,CGN,22360,BCP,brachycarpum,"191,333",1908N,-99.75,09945W,E. Mexico,NULL,MEX,Tenancingo,NULL,NULL,72
503,CGN,21308,BCP,brachycarpum,19.55,1933N,"-103,633",10338W,E. Jalisco,NULL,MEX,"Nevado de Colima, W side, Tranquitas",9/23/1958,3200,72
504,CGN,18347,BCP,brachycarpum,"162,833",1617N,-96.55,09633W,E. Oaxaca,NULL,MEX,"Municipio Miahuatlan, road from Oaxaca to Puerto Angel",10/19/1958,2400,72
505,CGN,17841,BRC,brevicaule,NULL,NULL,NULL,NULL,D. Cochabamba,NULL,BOL,"Puente San Miguel, Tunari",NULL,3800,24
506,CGN,18226,BRC,brevicaule,"-181,166",1807S,-65.1,06506W,D. Cochabamba,P. Campero,BOL,"10 km from Aiquile to Mizque, in fields across the river and railway",3/26/1980,2450,24
507,CGN,18232,BRC,brevicaule,"-173,333",1720S,-66.35,06621W,D. Cochabamba,P. Quillacollo,BOL,22 km from Quillacollo old road to Morochata near New Puente San Miguel,4/3/1980,3650,24
508,CGN,17682,BRC,brevicaule,"-172,666",1716S,-66.3,06618W,D. Cochabamba,P. Quillacollo,BOL,"Puente San Miguel, Tunari Range, above Cochabamba",4/9/1963,NULL,24
509,CGN,22321,BRC,brevicaule,"-190,333",1902S,"-652,833",06517W,D. Chuquisaca,NULL,BOL,"Pumilla, near Sucre",4/12/1963,NULL,24
510,CGN,960640,DMS,demissum,NULL,NULL,NULL,NULL,D. Puno,P. Puno,PER,NULL,NULL,NULL,24
511,CGN,17684,BUK,bukasovii,-13.65,1339S,"-733,833",07323W,D. Apurimac,P. Andahuaylas,PER,Km 79 from Abancay on road to Andahuaylas,4/18/1971,3900,24
512,CGN,17737,BUK,bukasovii,"-133,833",1323S,"-738,833",07353W,D. Ayacucho,P. Cangallo,PER,7 km from Rio Pampas bridge,4/18/1971,2400,24
513,CGN,21366,ACL,acaule,-15.65,1539S,"-714,333",07126W,D. Arequipa,P. Caylloma,PER,"Pulpera, en la Ruta de Chivay a Chibayo",3/29/1974,4000,48
514,CGN,17821,BUK,bukasovii,-12.55,1233S,"-751,833",07511W,D. Ayacucho,P. Pacaicara,PER,Huallapampa,NULL,3000,24
515,CGN,17690,BLB,bulbocastanum,"198,333",1950N,"-101,716",10143W,E. Michoacan,NULL,MEX,"Near Zacapu, at km 400 from Mexico City on the road to Guadalajara",10/1/1958,NULL,24
516,CGN,17691,BLB,bulbocastanum,"192,166",1913N,-98.8,09848W,E. Mexico,NULL,MEX,"Road from Amecameca to Chalco, Tlalmanalco",10/1/1958,2400,24
517,CGN,22698,BLB,bulbocastanum,"191,833",1911N,"-982,166",09813W,E. Tlaxcala,NULL,MEX,Km 8 on the road from Tlaxcala to Puebla,10/1/1958,NULL,24
518,CGN,17692,BLB,bulbocastanum,"178,833",1753N,-96.55,09633W,E. Oaxaca,NULL,MEX,"Near Oaxaca, Cerro San Felipe",10/1/1958,NULL,24
519,CGN,960631,BLB,bulbocastanum,"170,333",1702N,"-967,666",09646W,E. Oaxaca,NULL,MEX,"Oaxaca, ruins of Montealban",10/1/1958,1950,24
520,CGN,18310,BLB,bulbocastanum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
521,CGN,17687,BLB,bulbocastanum,NULL,NULL,NULL,NULL,E. Distrito Federal,NULL,MEX,Pedregal de San Angel,NULL,NULL,24
522,CGN,962577,BLB,bulbocastanum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,"Canoni, Humboldt road at Chalco",NULL,NULL,24
523,CGN,21363,BLB,bulbocastanum,15.15,1509N,-90.3,09018W,D. Baja Verapaz,NULL,GTM,8.8 km N from town square of Salama on old road to Coban,10/5/1995,1430,24
524,CGN,21364,BLB,bulbocastanum,"152,166",1513N,-90.3,09018W,D. Baja Verapaz,NULL,GTM,18.8 km N from town square of Salama on old road to Coban,10/5/1995,1420,24
525,CGN,23075,BLB,bulbocastanum,"153,166",1519N,-91.55,09133W,D. Huehuetenango,NULL,GTM,"7.3 km NW of entrance to Huehuetenango on Rt. CA 1, about 400 m uphill (SW)",10/19/1995,2000,24
526,CGN,960639,CAN,canasense,"-158,333",1550S,"-700,333",07002W,D. Puno,P. Puno,PER,"Huerta farm, 6 km from Puno, Lake Titicaca",4/6/1971,3900,24
527,CGN,17722,CAN,canasense,"-133,833",1323S,-71.9,07154W,D. Cusco,P. Calca,PER,"9 km past Calca, on road to Pisac",4/10/1971,3000,24
528,CGN,17672,CAN,canasense,-13.4,1324S,-73.9,07354W,D. Ayacucho,P. Cangallo,PER,"73 km from Chinceros, on Ayacucho road, above Ocros",4/18/1971,3800,24
529,CGN,17589,CAN,canasense,"-135,166",1331S,"-719,833",07159W,D. Cusco,P. Cusco,PER,7 km from Cusco to Pisac. same place as 794,4/17/1959,3850,24
530,CGN,962670,CND,candolleanum,-15.4,1524S,"-690,666",06904W,D. La Paz,P. Camacho,BOL,"Pantini, near Italaque",2/28/1978,3600,24
531,CGN,18132,CND,candolleanum,"-155,833",1535S,-68.55,06833W,D. La Paz,P. Larecaja,BOL,"Higher altitude road to Tacacoma; 40,5 km from Sorata to Tacacoma",3/4/1980,3560,24
532,CGN,20603,CND,candolleanum,"-156,166",1537S,"-690,833",06905W,D. La Paz,P. Camacho,BOL,9 km from Escoma on road to Italaque,3/6/1980,3850,24
533,CGN,18137,SPEC,species,"-156,166",1537S,"-689,333",06856W,D. La Paz,P. Omasuyos,BOL,36 km from Humacha on road to Ambana,3/7/1980,3680,24
534,CGN,18291,CAP,capsicibaccatum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
535,CGN,18254,CAP,capsicibaccatum,-18.6,1836S,"-641,166",06407W,D. Santa Cruz,P. Valle Grande,BOL,19 km from Valle Grande on the road to Pucara,3/1/1980,2650,24
536,CGN,22388,CAP,capsicibaccatum,-17.2,1712S,"-668,833",06653W,D. Cochabamba,P. Ayopaya,BOL,16 km from Independencia on the road to Challa,3/12/1980,3220,24
537,CGN,962457,CAP,capsicibaccatum,NULL,NULL,NULL,NULL,D. Cochabamba,NULL,BOL,NULL,NULL,NULL,24
538,CGN,18265,CAP,capsicibaccatum,NULL,NULL,NULL,NULL,D. Cochabamba,P. Carrasco,BOL,NULL,2/27/1980,NULL,24
539,CGN,962630,CPH,cardiophyllum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
540,CGN,NULL,CPH,cardiophyllum,NULL,NULL,NULL,NULL,E. Michoacan,NULL,MEX,NULL,NULL,NULL,24
541,CGN,22387,CPH,cardiophyllum,NULL,NULL,NULL,NULL,E. Mexico,NULL,MEX,"Near Texacoco, Chapingo/Lunestone hills",NULL,NULL,24
542,CGN,17697,CPH,cardiophyllum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
543,CGN,962709,CHC,chacoense,"-184,666",1828S,"-640,666",06404W,D. Santa Cruz,P. Valle Grande,BOL,3.9km E of townsquare of Valle Grande to Canton Poster Valle,1/23/1994,2100,24
544,CGN,18365,CHC,chacoense,"-183,333",1820S,-64.15,06409W,D. Santa Cruz,P. Valle Grande,BOL,19.1km N of large Christ statue,1/24/1994,1750,24
545,CGN,17702,CHC,chacoense,NULL,NULL,NULL,NULL,P. Mendoza,NULL,ARG,NULL,NULL,NULL,24
546,CGN,22384,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
547,CGN,18202,CHC,chacoense,-22.45,2227S,"-645,166",06431W,D. Tarija,P. Arce,BOL,59.5 km from Bermejo to Tarija,3/29/1980,720,24
548,CGN,18294,CHC,chacoense,"-253,833",2523S,-57.15,05709W,D. Cordillera,d. Caacupe,PRY,"Caacupe, around Instituto Agronomico Nacional",NULL,221,24
549,CGN,18338,CHC,chacoense,"-253,833",2523S,"-572,666",05716W,D. Central,d. Ypacarai,PRY,"Ypacarai, on route 6 between Ascunsion and Caacupe",NULL,200,24
550,CGN,961764,CHC,chacoense,"-280,166",2801S,-65.6,06536W,P. Catamarca,D. Paclin,ARG,"La Vina, route 38",5/16/1978,750,24
551,CGN,22368,CHC,chacoense,"-237,333",2344S,-65.25,06515W,P. Jujuy,D. Tilcara,ARG,"Quebrada de Yaquis Pampa, El Estanque, down from San Antonio",3/23/1952,2300,24
552,CGN,18036,CHN,chancayense,-11.35,1121S,"-773,833",07723W,D. Lima,P. Chancay,PER,Loma Teatinos II or Chancay Loma Lachay ?,9/16/1967,NULL,24
553,CGN,18356,CHN,chancayense,NULL,NULL,NULL,NULL,D. Lima,P. Chancay,PER,Lomas de Lachay,NULL,200,24
554,CGN,22718,STO,stoloniferum,-11.35,1121S,"-773,833",07723W,D. Lima,P. Chancay,PER,Loma Lachay,NULL,NULL,24
555,CGN,960028,CHM,chomatophilum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
556,CGN,961684,CHM,chomatophilum,"-70,833",0705S,"-785,833",07835W,D. Cajamarca,P. Cajamarca,PER,"Hacienda Porcon, surroundings of the farmhouse",3/29/1964,3000,24
557,CGN,18037,CHM,chomatophilum,"-66,833",0641S,"-777,833",07747W,D. Amazonas,P. Chachapoyas,PER,Cerro de Leimebamba,NULL,NULL,24
558,CGN,17712,CHM,chomatophilum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
559,CGN,20574,CHM,chomatophilum,"-70,833",0705S,"-785,833",07835W,D. Cajamarca,P. Cajamarca,PER,"Cerro Entenador, highlands of Hacienda Porcon",5/21/1952,NULL,24
560,CGN,21372,CHM,chamatophilum,"-108,833",1053S,-75.95,07557W,D. Junin,P. Junin,PER,Cerro Huishca. Enroute to Paucartambo,NULL,3550,24
561,CGN,962587,BER,berthaultii,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
562,CGN,17713,CHM,chomatophilum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
563,CGN,961984,CRC,circaeifolium,"-156,666",1540S,"-686,166",06837W,D. La Paz,P. Larecaja,BOL,12 km from Sorata on higher altitude road to Tacacoma,3/4/1980,3300,24
564,CGN,18133,CRC,circaeifolium,"-157,833",1547S,"-686,666",06840W,D. La Paz,P. Larecaja,BOL,5 km from Sorata to Achachachi,3/5/1980,2800,24
565,CGN,20643,QUM,circaeifolium quimense,"-177,666",1746S,"-646,833",06441W,D. Cochabamba,P. Carrasco,BOL,204 km from Cochabamba on the road to Santa Cruz,3/2/1980,2650,24
566,CGN,22767,QUM,circaeifolium quimense,"-171,166",1707S,"-669,333",06656W,D. Cochabamba,P. Ayopaya,BOL,"Near Independencia, by the path",3/11/1980,2750,24
567,CGN,18158,QUM,circaeifolium quimense,-17.05,1703S,-67.3,06718W,D. La Paz,P. Inquisivi,BOL,5 km from Quime on road to Caxata,3/26/1980,3350,24
568,CGN,962759,CLR,clarum,"150,666",1504N,"-915,666",09134W,D. Totonicapan,NULL,GTM,"4.1 km E of town square of Calel, on road to the Panamerican Highway",9/20/1995,3020,24
569,CGN,962765,CLR,clarum,"151,666",1510N,-91.95,09157W,D. San Marcos,NULL,GTM,"1.0 km NW of town square of Ixchiguan on toad to Tacana, ca 50 km N of road",9/24/1995,3380,24
570,CGN,962773,CLR,clarum,"148,666",1452N,"-912,333",09114W,D. Totonicapan,NULL,GTM,"along old road from Los Encuentros to Totonicapan, 2 km W",10/12/1995,3260,24
571,CGN,962787,CLR,clarum,"154,833",1529N,"-915,166",09131W,D. Huehuetenango,NULL,GTM,"31 km N of town square of Huehuetenango, on Road 9N, 3.5 km N of road jct",10/24/1995,3500,24
572,CGN,20557,COP,coelestipetalum,-13.3,1318S,-72.1,07206W,D. Cusco,P. Urubamba,PER,"Salapunco, Urubamba valley",4/21/1959,2500,24
573,CGN,18287,COL,colombianum,2.35,0221N,"-763,333",07620W,D. Cauca,P. Totoro,COL,Paramo. 27 km from Purace on the road to Moscopan,4/11/1958,NULL,48
574,CGN,18289,COL,colombianum,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,48
575,CGN,961592,CMM,commersonii,"-378,166",3749S,"-582,166",05813W,P. Buenos Aires,D. Balcarce,ARG,"Near Balcarce, Sierra de Bachicha",7/23/1972,150,24
576,CGN,961597,CMM,commersonii,"-380,833",3805S,"-576,166",05737W,P. Buenos Aires,D. General Pueyrredon,ARG,"Mar del Plata, Parque Peralta Ramos.Calle Acha y 61 (B. Lynch)",11/23/1973,30,24
577,CGN,18027,CMM,commersonii,-37.45,3727S,"-585,666",05834W,P. Buenos Aires,D. Balcarce,ARG,"Estancia Arroyo Grande, 45 km N of Balcarce on route 55",4/1/1976,50,24
578,CGN,22351,CMM,commersonii,"-330,333",3302S,"-585,333",05832W,P. Entre Rios,D. Gualeguaychu,ARG,Gualeguaychu,6/19/1980,20,24
579,CGN,18329,MLM,commersonii malmeanum,NULL,NULL,NULL,NULL,NULL,NULL,URY,NULL,NULL,NULL,24
580,CGN,18025,MLM,commersonii malmeanum,"-295,666",2934S,"-575,333",05732W,P. Corrientes,D. Mercedes,ARG,"Route 23, 63 km del cruce a Mercedes y a 300 m anter de lleger. Paso Libre",11/5/1973,56,24
581,CGN,18215,MLM,commersonii malmeanum,-30.2,3012S,-57.7,05742W,P. Corrientes,D. Monte Caseros,ARG,"Route 14, 1 km from Monte Caseros",6/24/1980,50,24
582,CGN,17797,DMS,demissum,"196,833",1941N,-100.85,10051W,E. Michoacan,NULL,MEX,San Jose de las Cumbres,12/12/1947,NULL,72
583,CGN,23779,DMS,demissum,19.25,1915N,"-991,666",09910W,E. Distrito Federal,NULL,MEX,Near Las Cruces,12/28/1947,NULL,72
584,CGN,17794,DMS,demissum,"196,166",1937N,"-981,166",09807W,E. Tlaxcala,NULL,MEX,"Above San Agustin Tlaxco, Mt Cuyuaguen",1/7/1948,NULL,72
585,CGN,18302,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
586,CGN,22378,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
587,CGN,20570,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
588,CGN,20661,DDS,doddsii,"-194,666",1928S,"-641,666",06410W,D. Chuquisaca,P. Tomina,BOL,41km SE of Padilla town square,1/20/1994,2380,24
589,CGN,18359,DDS,doddsii,-17,1700S,-65,06500W,D. Cochabamba,P. Mizque,BOL,"192 km from Sucre, on the road to Epizana",3/18/1971,2650,24
590,CGN,960921,EHR,ehrenbergii,"227,833",2247N,"-102,583",10235W,E. Zacatecas,NULL,MEX,726.5 km from Mexico towards Zacatecas,9/14/1949,2100,24
591,CGN,17714,ETB,etuberosum,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,24
592,CGN,18288,ETB,etuberosum,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,24
593,CGN,23066,ETB,etuberosum,-36.9,3654S,"-714,666",07128W,P. Nuble,D. Pinto,CHL,Las Trancas,1/8/1978,1240,24
594,CGN,18242,ETB,etuberosum,-36.9,3654S,-71.4,07124W,P. Nuble,D. Coihueco,CHL,Term. de Chillan,1/9/1978,1750,24
595,CGN,20648,ETB,etuberosum,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,24
596,CGN,18116,FEN,fendleri,"333,833",3323N,-108.6,10836W,E. New Mexico,C. Catron,USA,"Mogollon Mountains, Willow Creek, 0.5 mile above the Willow Creek Lodge",8/3/1958,2400,48
597,CGN,18063,FEN,fendleri,31.9,3154N,"-109,266",10916W,E. Arizona,C. Cochise,USA,"Chiricahua Mountains, Barfoot Park",8/4/1958,2450,48
598,CGN,17715,FEN,fendleri,"314,333",3126N,"-110,316",11019W,E. Arizona,C. Cochise,USA,"Huachuca Mountains, Ramsey Canon",8/7/1958,1750,48
599,CGN,18360,FRN,fernandezianum,NULL,NULL,NULL,NULL,P. Juan Fernandez,NULL,CHL,Isla Robinson Crusoe,NULL,150,24
600,CGN,18243,FRN,fernandezianum,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,24
601,CGN,962595,SPEC,species,NULL,NULL,NULL,NULL,D. Cundinamarca,NULL,COL,Usme,NULL,NULL,24
602,CGN,21368,FRX,fraxinifolium,"97,166",0943N,-84.1,08406W,P. San Jose,NULL,CRI,about 4km S of La Legua on the road to San Francisco (map 3345 II).,12/21/1996,2100,NULL
603,CGN,17590,GND,gandarillasii,"-186,666",1840S,"-651,666",06510W,D. Cochabamba,P. Campero,BOL,20-24 km from Aiquila to Sucre,3/11/1959,2500,24
604,CGN,22705,GRL,gourlayi,-22.95,2257S,"-653,833",06523W,P. Jujuy,D. Humahuaca,ARG,"Between Iturbe and Tres Cruses, by railway at km 1313 to 1313.5",3/19/1966,3530,48
605,CGN,17591,GRL,gourlayi,"-237,833",2347S,-65.55,06533W,P. Jujuy,D. Tumbaya,ARG,Jujuy.  Abre de Tumbaya Grande,1/20/1971,1900,24
606,CGN,18039,GRL,gourlayi,"-235,666",2334S,"-654,333",06526W,P. Jujuy,D. Tilcara,ARG,"Sierra de Malpaso, Quebrada de Huichaira, near Tilcara",4/2/1971,2850,48
607,CGN,22380,GRL,gourlayi,"-235,833",2335S,"-653,333",06520W,P. Jujuy,D. Tilcara,ARG,"Casa Colorada, Quebrada del Zorro",3/15/1972,3400,48
608,CGN,961345,GRL,gourlayi,"-236,166",2337S,"-652,666",06516W,P. Jujuy,D. Tilcara,ARG,"Quebrada del Chorro, path from Casa Colorada to Molulo",3/26/1972,3900,48
609,CGN,17592,GRL,gourlayi,"-243,166",2419S,-66.1,06606W,P. Salta,D. Rosario de Lerma,ARG,"Route 51, Quebrada Munal, 8 km NW of Las Cuevas",3/21/1973,3340,24
610,CGN,22336,GRL,gourlayi,"-243,333",2420S,"-660,833",06605W,P. Salta,D. Rosario de Lerma,ARG,"5 km NW of Cuevas on route 51, San Antonio de los Cobres",3/27/1973,3500,24
611,CGN,21335,GRL,gourlayi,"-242,666",2416S,"-663,166",06619W,P. Salta,D. La Poma,ARG,"3 km W of San Antonio, route 51, near rio San Antonio de los Cobres",3/29/1973,3800,24
612,CGN,18102,PTR,gourlayi pachytrichum,-19.6,1936S,-65.95,06557W,D. Potosi,P. Frias,BOL,4 km from Hacienda Cayara to Potosi,4/7/1974,NULL,24
613,CGN,18176,PTR,gourlayi pachytrichum,-18.65,1839S,"-662,666",06616W,D. Potosi,P. Bustillos,BOL,60 km from Uncia to Macha,2/21/1980,3530,24
614,CGN,962184,PTR,gourlayi pachytrichum,"-194,666",1928S,-65.8,06548W,D. Potosi,P. Frias,BOL,4 km from Casa Cayara to Potosi on the old road,3/4/1980,3350,24
615,CGN,962185,PTR,gourlayi pachytrichum,"-195,333",1932S,-65.8,06548W,D. Potosi,P. Frias,BOL,10 km from Casa Cayara to Potosi on the old road,3/4/1980,3350,24
616,CGN,18188,PTR,gourlayi pachytrichum,-19.45,1927S,"-652,166",06513W,D. Potosi,P. Saavedra,BOL,87 km from Potosi to Sucre,3/5/1980,3050,24
617,CGN,960078,PTR,gourlayi pachytrichum,NULL,NULL,NULL,NULL,D. Potosi,P. Frias,BOL,near Potosi,3/1/1959,4000,48
618,CGN,962363,PTR,gourlayi pachytrichum,"-193,666",1922S,-66,06600W,D. Potosi,P. Frias,BOL,63 km from Potosi to Oruro,4/1/1980,3820,24
619,CGN,17848,VID,gourlayi vidaurrei,"-227,166",2243S,-65.2,06512W,P. Salta,D. Iruya,ARG,Salta.  Chiyuyoo,2/15/1970,3000,24
620,CGN,17849,VID,gourlayi vidaurrei,"-226,833",2241S,-65.2,06512W,P. Salta,D. Iruya,ARG,Salta.  Abra Colorada,2/15/1970,3400,24
621,CGN,18040,VID,gourlayi vidaurrei,-22.6,2236S,"-651,666",06510W,P. Salta,D. Iruya,ARG,Salta.  Road from Molinos,2/15/1970,2800,24
622,CGN,17850,VID,gourlayi vidaurrei,"-225,166",2231S,-65.1,06506W,P. Salta,D. Santa Victoria,ARG,Salta.  Rio Nazareno,2/15/1970,3050,24
623,CGN,18038,VID,gourlayi vidaurrei,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"Quebrada de la Soledad, 12 km W of Humahuaca",3/4/1967,3300,24
624,CGN,17864,VID,gourlayi vidaurrei,"-222,666",2216S,-65.2,06512W,P. Salta,D. Santa Victoria,ARG,"Road to Lizoite, 10 km from junction with route 5, finca Eusebio Condori",4/22/1974,3800,24
625,CGN,23024,VID,gourlayi vidaurrei,"-221,833",2211S,"-651,833",06511W,P. Salta,D. Santa Victoria,ARG,"1 km NW of Lizoite, on route 5, where the road narrows and crosses river",4/23/1974,3500,24
626,CGN,23045,VID,gourlayi vidaurrei,"-228,166",2249S,"-652,333",06514W,P. Salta,D. Iruya,ARG,Quebrada El Volcancito. 2 km from Iruya,4/23/1978,3000,24
627,CGN,960039,GRR,guerreroense,17.55,1733N,-99.5,09930W,E. Guerrero,NULL,MEX,Mountains N of Chilpancingo,12/27/1947,NULL,72
628,CGN,17996,HAN,hannemanii,-23.6,2336S,"-651,333",06508W,P. Jujuy,D. Tilcara,ARG,"Huairahuasi, along the path to Casa Colorado and Molulo",3/21/1972,3200,24
629,CGN,17854,HAN,hannemanii,-23.6,2336S,"-651,333",06508W,P. Jujuy,D. Tilcara,ARG,"Huairahuasi, al otro lado de La Quebreda del Rio Colorado en la senda a Pis",3/21/1972,3200,24
630,CGN,17997,HAN,hannemanii,"-236,333",2338S,-65.1,06506W,P. Jujuy,D. Tilcara,ARG,"piscuno, por la senda de casa colorada a molulo",3/23/1972,3100,24
631,CGN,20578,HAN,hannemanii,NULL,NULL,NULL,NULL,P. Jujuy,D. Tilcara,ARG,NULL,NULL,NULL,24
632,CGN,17856,HAN,hannemanii,NULL,NULL,NULL,NULL,P. Jujuy,D. Tilcara,ARG,1.5 hours by horse W of El Durazno on the road to Tilcara,3/24/1972,2800,24
633,CGN,17858,HAN,hannemanii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
634,CGN,17888,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Ruta 59, km 56.5, 1km abaja de La Herradura, 16.5 km W de Hosteria El Maray",4/4/1973,3000,24
635,CGN,17889,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913",4/4/1973,3200,24
636,CGN,17890,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913",4/4/1973,3300,24
637,CGN,17891,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Cuerta del Obispo, ruta nac. 59, km 58, 1 km above Oka 4913",4/4/1973,3200,24
638,CGN,17892,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Ruta nac.59, 14km arriba del pie de la cuesta, 17km w de hosteria El Maray",4/4/1973,3400,24
639,CGN,22369,HJT,hjertingii,"254,166",2525N,-100.85,10051W,E. Coahuila,NULL,MEX,"Near Saltillo, Municipio Artiaga, Canon de los Lirios, Sierra Madre Orient",10/12/1949,2250,48
640,CGN,22370,HJT,hjertingii,"254,166",2525N,-101,10100W,E. Coahuila,NULL,MEX,"Saltillo.  E of Saltillo, Canon de Los Lirios, 4 miles W of Lirios village",8/23/1958,2200,48
641,CGN,18345,HJT,hjertingii,"248,666",2452N,"-100,216",10013W,E. Nuevo Leon,NULL,MEX,Cerro Potosi.   Below Las Canoas on the edge of La Joya de Abajo,8/25/1958,2500,48
642,CGN,22385,PTA,papita,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
643,CGN,962453,HJT,hjertingii,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
644,CGN,961918,HDM,hondelmannii,"-194,666",1928S,-65.25,06515W,D. Potosi,P. Saavedra,BOL,68 km from Sucre to Potosi,3/28/1974,2350,24
645,CGN,962199,HDM,hondelmannii,"-193,333",1920S,"-647,833",06447W,D. Chuquisaca,P. Yamparaez,BOL,32 km from Tarabuco to Sotomayor Via Icla,3/13/1980,2700,24
646,CGN,18192,HDM,hondelmannii,"-193,666",1922S,"-647,833",06447W,D. Chuquisaca,P. Yamparaez,BOL,36 km from Tarabuco on the road to Sotomayor,3/13/1980,2590,24
647,CGN,18193,HDM,hondelmannii,"-193,666",1922S,"-647,833",06447W,D. Chuquisaca,P. Yamparaez,BOL,36 km from Tarabuco to Sotomayor via Icla,3/13/1980,2590,24
648,CGN,962204,HDM,hondelmannii,"-193,833",1923S,"-647,833",06447W,D. Chuquisaca,P. Yamparaez,BOL,37 km from Tarabuco to Sotomayor via Icla,3/13/1980,2650,24
649,CGN,18053,SPEC,species,"-195,666",1934S,-65.8,06548W,D. Potosi,P. Frias,BOL,"27 km from Potosi on the road to Oruro, above Tarapaya",3/8/1971,3550,24
650,CGN,18363,HPS,hoopesii,-19.95,1957S,-64.45,06427W,D. Chuquisaca,P. Azurduy,BOL,24.3 km N of town square of Azurduy on road to Tarabuco,1/16/1994,2860,48
651,CGN,18367,HPS,hoopesii,-20.1,2006S,"-644,166",06425W,D. Chuquisaca,P. Azurduy,BOL,"Nursery of EstaciÃ³n Exp. Santa BÃ¡rbara, at edge of town of Azurduy",3/7/1993,2513,48
652,CGN,18368,HPS,hoopesii,-20.1,2006S,-64.4,06424W,D. Chuquisaca,P. Azurduy,BOL,1km N of town square of Azurduy,3/7/1993,2481,48
653,CGN,18372,HPS,hoopesii,-20,20--S,"-644,166",06425W,D. Chuquisaca,P. Azurduy,BOL,NULL,3/7/1993,2550,48
654,CGN,18339,HOU,hougasii,19.65,1939N,"-103,633",10338W,E. Jalisco,NULL,MEX,"In thicket on edge of field, near Sayula, Slopes of Volcan de Nevada",12/18/1947,NULL,72
655,CGN,21361,HOU,hougasii,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,72
656,CGN,962568,HMP,humectophilum,NULL,NULL,NULL,NULL,D. Amazonas,P. Chachapoyas,PER,Convento,NULL,3000,24
657,CGN,18077,INM,incamayoense,-24.75,2445S,"-657,333",06544W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada del Toro, Cebollar",4/5/1974,2280,24
658,CGN,21320,INM,incamayoense,"-248,166",2449S,-65.7,06542W,P. Salta,D. Rosario de Lerma,ARG,"Route 51, km 44-45, between El Alisal and Chorrillos",3/21/1973,1900,24
659,CGN,17874,INM,incamayoense,"-247,666",2446S,"-657,333",06544W,P. Salta,D. Rosario de Lerma,ARG,"Salta.Quebrada del Toro,Cebollar,about 50km on route 51. Ent.CH. Y Golgata",3/26/1973,2200,24
